Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER KEG 15L,Packaging-Other,0.0006,0.0006
FEB_2024,Singha 5.0%,BEER KEG 15L,Miscellaneous,0.0248,0.0247
FEB_2024,Singha 5.0%,BEER KEG 15L,TaxS15,51.7327,51.7335
FEB_2024,Singha 5.0%,BEER KEG 15L,TaxS30,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Excise Singha B320,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Excise Singha 620,0,0
FEB_2024,Singha 5.0%,BEER KEG 15L,Repair&Maintenance,0.1446,0.3607
FEB_2024,Singha 5.0%,BEER KEG 15L,Overtime,0.1812,0.1273
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Chemicals-CIP,0.0243,0.0230
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Chemicals-Filling,0.1078,0.0877
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Lid,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Can,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Tray,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Partition,0.3095,0.3300
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Carton,1.4966,1.7879
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Label,1.0000,0.9898
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Bottle,8.7674,8.7243
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Crown,0.3272,0.3397
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Packaging-Other,0.1475,0.1176
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Miscellaneous,0.0500,0.0499
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 630ml (Export),Overtime,0.1168,0.1568
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Chemicals-CIP,0.0243,0.0230
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Chemicals-Filling,0.1078,0.0877
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Lid,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Can,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Tray,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Partition,0.3145,0.3353
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Carton,1.4809,1.4828
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Label,1.0105,1.0057
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Bottle,8.9110,8.8650
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Crown,0.3325,0.3452
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Packaging-Other,0.1475,0.1176
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Miscellaneous,0.0500,0.0499
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 620ml (Export),Overtime,0.1168,0.1568
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Malt,0,0
